Code,Year,Sales,Bills
22020,2000,2328517.0,27
22020,2001,2925862.0,31
22020,2002,16220.14,31
22020,2003,22946.97,49
22020,2004,40849.4,59
22020,2005,29484.11,68
22020,2006,29679.62,77
22020,2007,46067.07,66
22020,2008,25491.379,55
22020,2009,46362.418,42
22020,2010,27061.05,34
22020,2011,30726.537,38
22020,2012,16879.24,19
22020,2013,15330.476,20
22020,2014,23656.486,27
22020,2015,39746.137,32
22020,2016,17467.746,22
22020,2017,30595.578,23
22020,2018,44152.586,34
22020,2019,38023.45,37
22020,2020,33513.91,39
22020,2021,56713.24,23
22024,1999,0.0,1
22024,2000,6612.0,2
22024,2001,56492.0,3
22024,2002,125.49,1
22024,2004,960.48004,2
22024,2005,183.28,4
22024,2006,1255.12,2
22024,2007,127.6,1
22024,2008,133.34,1
22024,2009,138.67,1
22024,2010,142.83,1
22024,2011,149.6476,1
22024,2012,154.137,1
22024,2013,158.0558,1
22024,2014,158.0558,1
22024,2015,158.0502,1
22024,2016,158.0502,1
22024,2017,158.0502,1
22024,2018,158.0502,1
22024,2019,158.05,1
22024,2020,158.05,1
22024,2021,158.05,1
22032,1999,211468.0,5
22032,2000,42224.0,2
22032,2001,15660.0,1
22035,1999,-24534.0,5
22036,1999,129827.0,5
22036,2000,375074.0,10
22036,2001,310068.0,15
22036,2002,6721.5,8
22036,2003,3699.12,5
22036,2004,1044.0,2
22037,1992,27789.0,1
22037,1999,9707275.0,22
22037,2000,12403758.0,26
22037,2001,16874200.0,36
22037,2002,154412.53,45
22037,2003,24625.93,9
22051,2000,785146.0,3
22051,2001,6380.0,1
22052,1999,142036.0,7
22052,2000,115124.0,5
22052,2001,458954.0,5
22057,2000,13786804.0,25
22057,2001,4491236.0,11
22060,1999,37990.0,2
22070,2000,330310.0,5
22070,2001,79402.0,1
22077,2007,131.92,1
22083,1999,69620.0,1
22091,1999,246442.0,4
22091,2000,455416.0,3
22091,2001,290116.0,9
22091,2002,940.31,5
22093,1999,5742.0,1
22093,2000,136300.0,2
22093,2001,29696.0,1
22093,2005,184.44,1
22095,1999,9860.0,1
22095,2000,121800.0,1
22095,2001,80040.0,2
22095,2003,41.76,1
22095,2004,41.76,1
22095,2005,41.76,1
22095,2006,41.76,3
22095,2007,41.76,1
22095,2008,43.64,1
22095,2009,44.51,1
22095,2010,46.4,1
22095,2011,48.62,1
22095,2012,48.616,1
22096,1999,72587.0,2
22096,2000,456808.0,2
22100,1999,98078.0,3
22100,2000,2376500.0,7
22100,2001,98600.0,1
22100,2002,592.6,1
22100,2003,2088.0,4
22100,2004,1473.2,13
22100,2005,1531.78,13
22100,2006,1539.32,13
22100,2007,1539.32,13
22100,2008,1600.92,13
22100,2009,1648.93,13
22100,2010,1728.78,14
22100,2011,1779.4681,13
22103,1999,1333710.0,9
22103,2000,498220.0,3
22103,2001,102080.0,1
22103,2002,678.6,1
22108,2000,11600.0,1
22110,1999,672591.0,6
22110,2000,269410.0,3
22110,2001,161834.0,3
22112,1999,1159582.0,30
22112,2000,562266.0,18
22112,2007,2505.6,1
22112,2008,2088.0,1
22114,1999,3432234.0,1
